subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPs	RT	KPlate	RTlate	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
6	2.000	1.000	1.000	893.000	60.966	63.565	64.619	nan	nan	nan	nan	nan	nan	321.000	-107.000	428.000	-107.000	1.600	1.055	3.151	
6	2.000	1.000	2.000	893.000	70.809	73.106	74.493	9,	74.780,	nan	nan	9.000	77.506	-214.000	428.000	-428.000	107.000	1.305	1.387	2.553	
6	2.000	1.000	3.000	893.000	80.069	82.854	84.332	9,	84.492,	nan	nan	9.000	87.347	-107.000	428.000	-428.000	107.000	1.793	1.479	3.293	
6	2.000	1.000	4.000	893.000	90.649	93.623	94.532	9,9,	95.144,95.463,	nan	nan	9.000	97.543	-214.000	428.000	-321.000	107.000	1.981	0.910	2.547	
6	2.000	1.000	5.000	893.000	100.098	101.987	103.779	8,	104.326,	nan	nan	8.000	106.791	-321.000	214.000	-107.000	107.000	0.895	1.793	2.135	
6	2.000	1.000	6.000	893.000	108.934	111.368	113.295	8,	114.048,	nan	nan	8.000	116.307	-214.000	107.000	-321.000	214.000	1.441	1.928	2.090	
6	2.000	1.000	7.000	893.000	118.406	120.526	121.421	9,9,	121.850,122.349,	nan	nan	9.000	124.432	-428.000	428.000	-321.000	107.000	1.127	0.895	2.540	
6	2.000	1.000	8.000	893.000	126.989	128.947	129.582	8,8,	129.840,130.138,	nan	nan	8.000	132.592	-107.000	428.000	-214.000	214.000	0.973	0.635	3.273	
6	2.000	1.000	9.000	893.000	135.875	138.033	138.595	9,9,	138.885,139.149,	nan	nan	9.000	141.606	-428.000	428.000	-214.000	107.000	1.166	0.563	3.428	
6	2.000	1.000	10.000	893.000	145.045	148.002	148.555	9,9,	148.974,149.173,	nan	nan	9.000	151.565	-107.000	428.000	-214.000	107.000	1.966	0.553	3.833	
6	2.000	1.000	11.000	893.000	155.422	157.556	158.712	9,	158.851,	nan	nan	9.000	161.725	-321.000	214.000	-428.000	107.000	1.156	1.156	3.132	
6	2.000	1.000	12.000	893.000	164.874	166.465	167.534	9,9,	167.709,167.881,	nan	nan	9.000	170.544	-214.000	214.000	-428.000	107.000	0.606	1.069	3.839	
6	2.000	1.000	13.000	893.000	174.395	176.136	176.877	9,	177.139,	nan	nan	9.000	179.891	-428.000	321.000	-321.000	107.000	0.751	0.741	2.817	
6	2.000	1.000	14.000	893.000	182.731	185.526	187.120	9,	187.245,	nan	nan	9.000	190.135	321.000	107.000	428.000	107.000	1.817	1.595	2.785	
6	2.000	1.000	15.000	893.000	192.936	194.547	196.329	8,	196.689,	nan	nan	8.000	199.343	-107.000	214.000	-321.000	321.000	0.625	1.783	3.068	
6	2.000	1.000	16.000	893.000	202.428	204.525	205.300	9,9,	205.476,205.681,	nan	nan	9.000	208.311	-214.000	428.000	-107.000	214.000	1.113	0.775	3.441	
6	2.000	1.000	17.000	893.000	211.769	213.735	215.291	8,8,	215.548,215.753,	nan	nan	8.000	218.302	-428.000	321.000	-321.000	428.000	0.982	1.556	2.315	
6	2.000	1.000	18.000	893.000	220.635	222.148	222.874	8,8,	223.461,223.808,	nan	nan	8.000	225.885	-428.000	214.000	-321.000	321.000	0.529	0.727	3.035	
6	2.000	1.000	19.000	893.000	229.020	230.601	231.361	9,9,9,9,	231.575,231.817,232.102,232.882,	nan	nan	9.000	234.372	-107.000	214.000	-428.000	107.000	0.678	0.760	2.476	
6	2.000	1.000	20.000	893.000	236.865	239.686	240.875	8,	241.034,	nan	nan	8.000	243.888	-214.000	214.000	-321.000	321.000	1.836	1.190	2.206	
6	2.000	1.000	21.000	893.000	246.111	248.917	249.730	9,9,9,	250.358,250.601,250.808,	nan	nan	9.000	252.741	-321.000	321.000	-428.000	428.000	1.822	0.814	2.129	
6	2.000	1.000	22.000	893.000	254.887	257.572	258.617	9,9,	258.726,258.935,	nan	nan	9.000	261.630	-214.000	428.000	-321.000	214.000	1.701	1.045	3.312	
6	2.000	1.000	23.000	893.000	264.960	267.404	269.143	8,	269.552,	nan	nan	8.000	272.157	-214.000	214.000	-107.000	321.000	1.460	1.740	2.399	
6	2.000	1.000	24.000	893.000	274.574	277.341	278.848	9,9,	279.101,279.270,	nan	nan	9.000	281.860	-428.000	428.000	-107.000	214.000	1.783	1.508	2.116	
6	2.000	1.000	25.000	893.000	283.992	286.302	286.826	8,8,	286.961,287.422,	nan	nan	8.000	289.836	-428.000	214.000	-214.000	321.000	1.325	0.524	2.071	
6	2.000	1.000	26.000	893.000	291.924	294.861	295.515	8,8,	295.818,295.995,	nan	nan	8.000	298.525	-321.000	214.000	-214.000	107.000	1.952	0.654	3.228	
6	2.000	1.000	27.000	893.000	301.771	303.762	304.676	9,9,	304.796,304.970,	nan	nan	9.000	307.687	-214.000	214.000	-107.000	214.000	1.006	0.915	3.859	
6	2.000	1.000	28.000	893.000	311.603	313.496	314.121	9,9,9,	314.345,314.514,314.732,	nan	nan	9.000	317.132	-321.000	428.000	-214.000	107.000	0.949	0.625	2.367	
6	2.000	1.000	29.000	893.000	319.515	322.370	324.312	9,	324.604,	nan	nan	9.000	327.326	-214.000	428.000	-107.000	107.000	1.870	1.942	3.531	
