subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPs	RT	KPlate	RTlate	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
1	2.000	1.000	1.000	1321.000	78.231	79.727	81.557	8,	82.008,	nan	nan	8.000	84.573	321.000	-321.000	428.000	-321.000	0.500	1.831	3.826	
1	2.000	1.000	2.000	1321.000	88.411	91.142	92.138	8,	92.783,	nan	nan	8.000	95.156	-321.000	214.000	-107.000	107.000	1.740	0.997	2.270	
1	2.000	1.000	3.000	1321.000	97.436	99.387	100.832	9,	102.153,	nan	nan	9.000	103.845	-321.000	214.000	-428.000	107.000	0.958	1.445	3.260	
1	2.000	1.000	4.000	1321.000	107.124	109.027	110.800	9,	110.990,	nan	nan	9.000	113.813	-107.000	321.000	-428.000	428.000	0.920	1.773	2.103	
1	2.000	1.000	5.000	1321.000	115.926	118.055	119.172	9,	119.460,	nan	nan	9.000	122.184	-428.000	428.000	-214.000	107.000	1.137	1.117	2.701	
1	2.000	1.000	6.000	1321.000	124.917	127.820	129.101	8,	129.543,	nan	nan	8.000	132.113	-428.000	321.000	-321.000	428.000	1.932	1.281	3.518	
1	2.000	1.000	7.000	1321.000	135.644	138.290	139.369	9,	139.591,	nan	nan	9.000	142.388	-214.000	428.000	-321.000	107.000	1.658	1.079	2.521	
1	2.000	1.000	8.000	1321.000	144.938	147.013	148.145	9,	148.631,	nan	nan	9.000	151.157	-321.000	428.000	-214.000	107.000	1.103	1.132	3.904	
1	2.000	1.000	9.000	1321.000	155.076	156.726	157.757	9,9,	158.392,159.552,	nan	nan	9.000	160.770	-214.000	428.000	-107.000	214.000	0.664	1.031	3.209	
1	2.000	1.000	10.000	1321.000	163.990	166.392	168.199	8,	168.872,	nan	nan	8.000	171.217	-321.000	321.000	-214.000	428.000	1.412	1.807	3.601	
1	2.000	1.000	11.000	1321.000	174.834	177.685	178.277	9,	178.893,	nan	nan	9.000	181.289	-107.000	428.000	-428.000	107.000	1.865	0.592	3.119	
