subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPlate	RTlate	KPs	RT	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
3	2.000	1.000	1.000	786.000	106.214	108.753	110.299	nan	nan	8,	110.384,	8.000	113.302	321.000	-321.000	428.000	-321.000	1.547	1.547	3.897	
3	2.000	1.000	2.000	786.000	117.220	119.527	120.451	nan	nan	9,	121.228,	9.000	123.454	-214.000	214.000	-321.000	321.000	1.325	0.924	3.633	
3	2.000	1.000	3.000	786.000	127.129	128.759	129.775	nan	nan	8,	130.193,	8.000	132.776	-428.000	321.000	-321.000	107.000	0.669	1.016	2.997	
3	2.000	1.000	4.000	786.000	135.805	138.688	140.104	nan	nan	9,	140.300,	9.000	143.108	-107.000	214.000	-428.000	107.000	1.913	1.416	3.859	
3	2.000	1.000	5.000	786.000	147.007	149.106	149.798	nan	nan	9,	150.747,	9.000	152.800	-107.000	428.000	-321.000	107.000	1.137	0.693	2.727	
3	2.000	1.000	6.000	786.000	155.551	158.104	159.506	nan	nan	9,	160.085,	9.000	162.507	-214.000	214.000	-428.000	107.000	1.576	1.402	2.958	
3	2.000	1.000	7.000	786.000	165.502	168.241	169.671	nan	nan	8,	170.084,	8.000	172.676	-321.000	321.000	-214.000	428.000	1.773	1.431	2.797	
3	2.000	1.000	8.000	786.000	175.483	177.052	178.198	nan	nan	9,	178.544,	9.000	181.202	-107.000	428.000	-214.000	321.000	0.577	1.146	3.524	
3	2.000	1.000	9.000	786.000	184.749	186.620	188.320	nan	nan	9,	188.843,	9.000	191.321	-214.000	428.000	-321.000	107.000	0.891	1.701	2.431	
3	2.000	1.000	10.000	786.000	193.774	195.722	197.008	nan	nan	8,	197.311,	8.000	200.010	-214.000	107.000	-321.000	321.000	0.968	1.286	2.849	
3	2.000	1.000	11.000	786.000	202.888	205.190	206.640	nan	nan	9,9,	206.705,208.244,	9.000	209.642	-107.000	321.000	-428.000	428.000	1.330	1.450	3.775	
3	2.000	1.000	12.000	786.000	213.440	215.044	216.803	nan	nan	9,	217.236,	9.000	219.804	-214.000	428.000	-107.000	107.000	0.625	1.759	3.531	
3	2.000	1.000	13.000	786.000	223.363	225.816	226.860	nan	nan	9,	227.353,	9.000	229.862	-214.000	428.000	-321.000	214.000	1.479	1.045	3.299	
3	2.000	1.000	14.000	786.000	233.173	235.363	236.711	nan	nan	8,8,	236.931,237.867,	8.000	239.713	321.000	107.000	428.000	107.000	1.199	1.349	2.296	
3	2.000	1.000	15.000	786.000	242.057	244.755	245.838	nan	nan	8,	246.289,	8.000	248.841	-214.000	214.000	-107.000	321.000	1.744	1.084	3.582	
3	2.000	1.000	16.000	786.000	252.449	254.658	255.298	nan	nan	8,	256.122,	8.000	258.299	-321.000	214.000	-107.000	107.000	1.233	0.640	2.457	
3	2.000	1.000	17.000	786.000	260.768	262.373	263.326	nan	nan	8,	263.988,	8.000	266.328	-428.000	428.000	-107.000	214.000	0.616	0.953	3.678	
3	2.000	1.000	18.000	786.000	270.033	272.734	274.125	nan	nan	8,	274.609,	8.000	277.127	-428.000	428.000	-107.000	107.000	1.725	1.392	2.264	
3	2.000	1.000	19.000	786.000	279.406	281.534	282.468	nan	nan	8,8,	282.853,284.171,	8.000	285.469	-428.000	321.000	-321.000	428.000	1.141	0.934	2.193	
3	2.000	1.000	20.000	786.000	287.677	290.360	291.381	nan	nan	9,	292.584,	9.000	294.383	-107.000	214.000	-321.000	321.000	1.696	1.021	3.383	
