subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPs	RT	KPlate	RTlate	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
11	2.000	1.000	1.000	1000.000	87.199	89.188	90.281	8,	90.825,	8.000	93.298	8.000	93.298	321.000	-214.000	428.000	-214.000	0.997	1.093	3.350	
11	2.000	1.000	2.000	1000.000	96.665	99.235	101.042	8,	102.442,	nan	nan	8.000	104.054	-428.000	428.000	-107.000	214.000	1.585	1.807	2.527	
11	2.000	1.000	3.000	1000.000	106.591	109.270	111.178	9,	111.587,	nan	nan	9.000	114.191	-107.000	214.000	-321.000	321.000	1.686	1.908	2.418	
11	2.000	1.000	4.000	1000.000	116.622	119.133	120.670	nan	nan	9.000	123.711	nan	nan	-428.000	428.000	-321.000	107.000	1.523	1.537	2.669	
11	2.000	1.000	5.000	1000.000	126.390	128.972	129.766	9,9,	130.193,130.627,	nan	nan	9.000	132.778	-107.000	428.000	-428.000	107.000	1.590	0.794	2.971	
11	2.000	1.000	6.000	1000.000	135.759	137.903	139.401	9,	139.717,	nan	nan	9.000	142.414	-107.000	428.000	-321.000	107.000	1.151	1.498	3.511	
11	2.000	1.000	7.000	1000.000	145.935	148.792	150.001	9,	150.549,	nan	nan	9.000	153.019	-428.000	321.000	-321.000	107.000	1.865	1.209	3.582	
11	2.000	1.000	8.000	1000.000	156.616	159.594	160.783	9,	161.622,	nan	nan	9.000	163.795	-321.000	321.000	-428.000	428.000	1.990	1.190	3.402	
11	2.000	1.000	9.000	1000.000	167.289	170.161	171.123	9,	171.516,	nan	nan	9.000	174.136	-107.000	321.000	-428.000	107.000	1.961	0.963	2.881	
11	2.000	1.000	10.000	1000.000	177.027	178.862	180.239	9,	180.627,	nan	nan	9.000	183.252	-107.000	428.000	-214.000	214.000	0.842	1.378	3.878	
11	2.000	1.000	11.000	1000.000	187.163	188.950	190.603	8,	191.060,	nan	nan	8.000	193.621	-214.000	107.000	-321.000	321.000	0.818	1.653	3.145	
11	2.000	1.000	12.000	1000.000	196.783	198.398	199.549	8,	199.827,	nan	nan	8.000	202.562	-214.000	214.000	-321.000	428.000	0.630	1.151	2.572	
11	2.000	1.000	13.000	1000.000	205.145	207.668	209.490	8,	209.564,	nan	nan	8.000	212.502	-214.000	107.000	-321.000	214.000	1.532	1.822	2.000	
11	2.000	1.000	14.000	1000.000	214.533	217.220	218.452	8,	218.500,	nan	nan	8.000	221.465	321.000	214.000	428.000	214.000	1.715	1.233	2.489	
11	2.000	1.000	15.000	1000.000	223.964	226.343	227.103	9,	227.529,	nan	nan	9.000	230.115	-214.000	428.000	-107.000	214.000	1.387	0.760	2.476	
11	2.000	1.000	16.000	1000.000	232.601	234.247	235.610	9,	236.082,	nan	nan	9.000	238.623	-107.000	428.000	-214.000	321.000	0.654	1.363	2.212	
11	2.000	1.000	17.000	1000.000	240.864	242.675	244.284	8,	244.955,	nan	nan	8.000	247.297	-214.000	214.000	-321.000	321.000	0.838	1.609	3.125	
11	2.000	1.000	18.000	1000.000	250.434	252.995	253.577	8,	254.265,	nan	nan	8.000	256.595	-428.000	428.000	-214.000	107.000	1.571	0.582	2.977	
11	2.000	1.000	19.000	1000.000	259.602	261.306	262.664	8,	263.030,	nan	nan	8.000	265.682	-214.000	214.000	-107.000	321.000	0.732	1.359	2.058	
11	2.000	1.000	20.000	1000.000	267.752	269.966	270.909	8,	271.753,	nan	nan	8.000	273.928	-321.000	321.000	-107.000	214.000	1.223	0.944	2.727	
11	2.000	1.000	21.000	1000.000	276.689	279.256	281.241	nan	nan	nan	nan	nan	nan	-214.000	428.000	-107.000	107.000	1.600	1.986	3.248	
11	2.000	1.000	22.000	1000.000	287.536	290.006	291.075	9,	292.433,	nan	nan	9.000	294.094	-321.000	214.000	-428.000	107.000	1.479	1.069	2.842	
11	2.000	1.000	23.000	1000.000	296.967	298.636	299.898	9,9,	300.225,300.601,	nan	nan	9.000	302.910	-107.000	321.000	-428.000	428.000	0.698	1.262	3.955	
11	2.000	1.000	24.000	1000.000	306.904	309.245	310.280	8,8,	310.361,311.035,	nan	nan	8.000	313.299	-428.000	321.000	-321.000	428.000	1.378	1.035	2.502	
11	2.000	1.000	25.000	1000.000	315.829	318.749	320.407	9,	321.279,	nan	nan	9.000	323.424	-321.000	214.000	-107.000	107.000	1.947	1.658	2.244	
11	2.000	1.000	26.000	1000.000	325.682	327.779	328.843	8,	329.209,	nan	nan	8.000	331.860	-321.000	428.000	-214.000	107.000	1.108	1.064	3.524	
11	2.000	1.000	27.000	1000.000	335.456	337.006	338.355	8,	338.789,	nan	nan	8.000	341.367	-214.000	321.000	-107.000	321.000	0.621	1.349	2.219	
11	2.000	1.000	28.000	1000.000	343.596	345.435	346.175	9,9,	346.628,347.023,	nan	nan	9.000	349.193	-214.000	428.000	-321.000	214.000	0.847	0.741	3.074	
11	2.000	1.000	29.000	1000.000	352.291	354.406	356.401	8,	356.516,	nan	nan	8.000	359.413	-428.000	214.000	-214.000	321.000	1.137	1.995	3.691	
11	2.000	1.000	30.000	1000.000	363.122	365.398	366.037	8,8,	366.401,366.858,	nan	nan	8.000	369.057	-428.000	428.000	-107.000	107.000	1.291	0.640	3.717	
11	2.000	1.000	31.000	1000.000	372.810	374.802	375.774	9,9,	375.859,376.511,	nan	nan	9.000	378.786	-214.000	428.000	-428.000	107.000	1.026	0.973	2.624	
11	2.000	1.000	32.000	1000.000	381.428	383.529	384.039	9,9,	384.302,385.148,	nan	nan	9.000	387.052	-107.000	214.000	-428.000	107.000	1.117	0.510	3.814	
11	2.000	1.000	33.000	1000.000	390.879	393.154	394.029	9,	394.290,	nan	nan	9.000	397.047	-107.000	428.000	-214.000	107.000	1.286	0.876	2.167	
11	2.000	1.000	34.000	1000.000	399.283	401.541	402.957	9,	403.260,	9.000	405.976	9.000	405.976	-321.000	214.000	-214.000	107.000	1.325	1.416	3.203	
11	2.000	1.000	35.000	1000.000	409.204	410.965	411.566	8,8,	411.699,412.015,	nan	nan	8.000	414.584	-428.000	214.000	-321.000	321.000	0.785	0.601	3.846	
11	2.000	1.000	36.000	1000.000	418.460	420.351	421.999	9,9,	422.289,423.483,	nan	nan	9.000	425.012	-107.000	214.000	-428.000	321.000	0.920	1.648	2.598	
11	2.000	1.000	37.000	1000.000	427.626	429.879	431.739	9,9,	432.151,432.802,	nan	nan	9.000	434.758	-214.000	214.000	-428.000	107.000	1.267	1.860	2.740	
11	2.000	1.000	38.000	1000.000	437.514	439.492	441.178	8,	441.557,	nan	nan	8.000	444.195	-321.000	321.000	-214.000	428.000	0.992	1.686	3.563	
11	2.000	1.000	39.000	1000.000	447.771	450.017	451.312	9,9,	451.495,451.964,	nan	nan	9.000	454.324	-214.000	428.000	-321.000	107.000	1.257	1.296	2.392	
11	2.000	1.000	40.000	1000.000	456.733	459.183	460.619	8,8,9,9,9,	460.818,461.528,461.642,462.205,462.512,	nan	nan	9.000	463.631	-214.000	-321.000	-107.000	-321.000	1.465	1.436	3.614	
11	2.000	1.000	41.000	1000.000	467.267	469.042	470.713	9,	470.955,	nan	nan	9.000	473.733	-214.000	107.000	-428.000	321.000	0.794	1.672	3.486	
11	2.000	1.000	42.000	1000.000	477.229	479.593	480.691	9,9,	480.725,480.983,	nan	nan	9.000	483.708	-214.000	428.000	-321.000	321.000	1.373	1.098	2.695	
11	2.000	1.000	43.000	1000.000	486.437	488.652	490.507	8,8,	490.914,491.400,	nan	nan	8.000	493.519	-428.000	214.000	-107.000	321.000	1.248	1.855	3.215	
11	2.000	1.000	44.000	1000.000	496.771	498.647	500.077	8,	500.166,	nan	nan	8.000	503.095	-321.000	214.000	-107.000	428.000	0.910	1.431	3.859	
11	2.000	1.000	45.000	1000.000	506.966	509.126	510.615	8,8,	511.322,511.885,	nan	nan	8.000	513.627	-214.000	107.000	-107.000	321.000	1.170	1.489	2.836	
11	2.000	1.000	46.000	1000.000	516.493	518.404	519.864	9,	519.892,	nan	nan	9.000	522.875	-107.000	428.000	-321.000	321.000	0.939	1.460	3.756	
11	2.000	1.000	47.000	1000.000	526.663	529.474	531.040	9,	531.445,	nan	nan	9.000	534.059	-107.000	107.000	-428.000	214.000	1.841	1.566	2.141	
11	2.000	1.000	48.000	1000.000	536.240	539.077	540.970	9,9,	540.994,541.532,	8.000	543.983	9.000	543.983	-321.000	107.000	-428.000	214.000	1.875	1.894	3.228	
11	2.000	1.000	49.000	1000.000	547.240	550.170	552.087	9,9,	552.237,552.628,	nan	nan	9.000	555.100	-214.000	428.000	-428.000	214.000	1.957	1.918	2.431	
11	2.000	1.000	50.000	1000.000	557.541	560.513	561.770	9,9,	561.920,562.342,	nan	nan	9.000	564.788	-107.000	428.000	-321.000	214.000	1.981	1.257	3.865	
11	2.000	1.000	51.000	1000.000	568.691	570.836	572.551	8,	573.455,	nan	nan	8.000	575.563	-321.000	214.000	-214.000	321.000	1.180	1.715	2.521	
11	2.000	1.000	52.000	1000.000	578.121	580.362	581.282	8,8,	582.184,582.690,	nan	nan	8.000	584.300	-107.000	214.000	-214.000	321.000	1.277	0.920	2.849	
11	2.000	1.000	53.000	1000.000	587.166	589.557	591.335	8,8,	591.472,593.235,	nan	nan	8.000	594.347	214.000	-107.000	428.000	-107.000	1.407	1.778	3.923	
11	2.000	1.000	54.000	1000.000	598.290	601.239	603.055	8,	603.218,	nan	nan	8.000	606.074	-428.000	428.000	-214.000	321.000	1.966	1.817	2.778	
11	2.000	1.000	55.000	1000.000	608.869	611.752	613.294	8,	613.458,	nan	nan	8.000	616.307	-214.000	107.000	-107.000	428.000	1.899	1.542	2.045	
11	2.000	1.000	56.000	1000.000	618.382	621.036	622.457	8,	623.027,	nan	nan	8.000	625.469	-428.000	428.000	-214.000	214.000	1.682	1.421	3.608	
11	2.000	1.000	57.000	1000.000	629.105	631.491	633.061	nan	nan	nan	nan	nan	nan	-428.000	321.000	-214.000	107.000	1.412	1.571	2.238	
11	2.000	1.000	58.000	1000.000	638.343	641.012	642.215	9,9,	642.286,642.604,	nan	nan	9.000	645.227	-214.000	107.000	-428.000	214.000	1.677	1.204	2.823	
11	2.000	1.000	59.000	1000.000	648.061	650.840	652.290	8,8,	652.448,652.840,	nan	nan	8.000	655.303	-214.000	214.000	-107.000	428.000	1.788	1.450	3.023	
11	2.000	1.000	60.000	1000.000	658.344	660.889	662.368	9,9,	662.529,662.811,	nan	nan	9.000	665.385	-214.000	428.000	-428.000	321.000	1.561	1.479	3.768	
11	2.000	1.000	61.000	1000.000	669.165	671.760	672.564	8,8,	672.949,673.363,	nan	nan	8.000	675.582	-428.000	107.000	-107.000	214.000	1.605	0.804	2.109	
11	2.000	1.000	62.000	1000.000	677.708	680.004	680.735	9,	681.169,	9.000	683.747	9.000	683.748	-214.000	107.000	-428.000	428.000	1.310	0.732	3.518	
11	2.000	1.000	63.000	1000.000	687.328	688.777	689.990	nan	nan	9.000	693.027	nan	nan	-214.000	214.000	-428.000	428.000	0.510	1.214	2.264	
11	2.000	1.000	64.000	1000.000	695.329	697.536	698.093	8,8,	698.328,698.660,	nan	nan	8.000	701.111	-428.000	214.000	-321.000	428.000	1.243	0.558	3.318	
11	2.000	1.000	65.000	1000.000	704.447	706.390	707.873	8,8,	707.950,708.327,	nan	nan	8.000	710.886	-107.000	321.000	-214.000	428.000	0.958	1.484	3.042	
11	2.000	1.000	66.000	1000.000	713.945	715.483	717.483	8,	717.682,	nan	nan	8.000	720.495	214.000	107.000	428.000	107.000	0.553	2.000	3.293	
11	2.000	1.000	67.000	1000.000	723.809	726.438	727.029	9,9,	727.496,727.768,	nan	nan	9.000	730.042	-107.000	428.000	-428.000	214.000	1.648	0.592	3.936	
11	2.000	1.000	68.000	1000.000	734.005	736.772	737.426	8,8,	738.071,738.456,	nan	nan	8.000	740.445	-428.000	214.000	-214.000	107.000	1.793	0.654	3.376	
11	2.000	1.000	69.000	1000.000	743.844	746.191	746.787	9,9,	747.052,747.278,	nan	nan	9.000	749.804	-321.000	428.000	-428.000	321.000	1.368	0.596	2.508	
11	2.000	1.000	70.000	1000.000	752.391	754.036	755.443	8,8,	755.594,755.912,	nan	nan	8.000	758.456	-428.000	428.000	-321.000	214.000	0.722	1.407	2.469	
11	2.000	1.000	71.000	1000.000	760.942	762.751	764.311	9,	764.626,	nan	nan	9.000	767.324	-321.000	214.000	-428.000	428.000	0.823	1.561	2.984	
11	2.000	1.000	72.000	1000.000	770.328	773.088	773.786	9,9,	773.911,774.184,	nan	nan	9.000	776.803	-321.000	214.000	-428.000	321.000	1.778	0.698	3.048	
11	2.000	1.000	73.000	1000.000	779.868	781.488	783.184	8,8,	783.362,783.659,	nan	nan	8.000	786.202	-107.000	107.000	-214.000	214.000	0.635	1.696	2.540	
11	2.000	1.000	74.000	1000.000	788.765	791.445	792.017	9,9,	792.630,792.927,	nan	nan	9.000	795.029	-107.000	321.000	-321.000	107.000	1.701	0.572	3.016	
11	2.000	1.000	75.000	1000.000	798.070	800.445	801.721	9,	801.885,	nan	nan	9.000	804.733	-214.000	321.000	-321.000	107.000	1.397	1.277	3.473	
11	2.000	1.000	76.000	1000.000	808.224	810.297	812.200	9,	812.452,	nan	nan	9.000	815.213	-107.000	214.000	-428.000	428.000	1.088	1.904	3.254	
11	2.000	1.000	77.000	1000.000	818.479	820.012	821.814	8,8,	821.891,822.172,	nan	nan	8.000	824.826	-321.000	214.000	-107.000	321.000	0.543	1.802	3.601	
11	2.000	1.000	78.000	1000.000	828.554	831.425	832.045	9,9,	832.952,833.756,	nan	nan	9.000	835.058	-107.000	214.000	-321.000	107.000	1.995	0.621	3.891	
11	2.000	1.000	79.000	1000.000	838.972	840.967	842.051	8,8,	842.208,842.475,	nan	nan	8.000	845.063	-321.000	321.000	-107.000	321.000	1.016	1.084	2.958	
11	2.000	1.000	80.000	1000.000	848.032	849.615	850.467	8,8,	850.870,851.115,	nan	nan	8.000	853.485	-321.000	214.000	-214.000	428.000	0.592	0.852	2.810	
11	2.000	1.000	81.000	1000.000	856.335	857.879	859.194	8,8,	859.510,859.820,	nan	nan	8.000	862.207	-428.000	321.000	-107.000	107.000	0.582	1.315	2.939	
11	2.000	1.000	82.000	1000.000	865.163	867.690	868.918	8,8,	868.944,869.870,	nan	nan	8.000	871.936	-321.000	107.000	-107.000	214.000	1.542	1.228	2.733	
11	2.000	1.000	83.000	1000.000	874.686	877.184	878.118	9,9,	878.209,878.494,	nan	nan	9.000	881.130	-321.000	428.000	-428.000	107.000	1.513	0.934	2.315	
11	2.000	1.000	84.000	1000.000	883.461	886.090	887.733	9,9,	888.068,888.595,	nan	nan	9.000	890.750	-107.000	321.000	-428.000	214.000	1.643	1.643	3.357	
11	2.000	1.000	85.000	1000.000	894.129	896.906	897.522	8,8,	898.640,898.950,	nan	nan	8.000	900.535	-321.000	428.000	-107.000	214.000	1.797	0.616	2.630	
