subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPlate	RTlate	KPs	RT	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
2	2.000	2.000	301.000	572.000	1432.384	1434.020	1435.923	nan	nan	8,8,8,8,8,	1436.169,1436.423,1436.732,1437.036,1437.350,	8.000	1438.925	-214.000	214.000	-107.000	107.000	0.727	1.904	2.495	
2	2.000	2.000	302.000	572.000	1441.507	1443.762	1445.660	nan	nan	8,8,8,	1445.926,1446.242,1446.551,	8.000	1448.662	-321.000	107.000	-107.000	428.000	1.339	1.899	2.759	
2	2.000	2.000	303.000	572.000	1451.494	1454.413	1456.239	nan	nan	8,8,8,8,8,	1456.647,1457.014,1457.651,1457.960,1458.237,	8.000	1459.246	-428.000	321.000	-107.000	214.000	1.990	1.826	2.367	
2	2.000	2.000	304.000	572.000	1461.680	1464.074	1465.886	nan	nan	9,9,9,9,9,9,	1466.274,1466.576,1466.870,1467.159,1467.442,1467.737,	9.000	1468.887	-107.000	107.000	-428.000	321.000	1.460	1.812	3.537	
2	2.000	2.000	305.000	572.000	1472.497	1475.185	1476.862	nan	nan	8,8,8,8,8,	1477.286,1477.644,1477.992,1478.335,1478.636,	8.000	1479.863	-321.000	428.000	-214.000	214.000	1.759	1.677	2.977	
2	2.000	2.000	306.000	572.000	1482.914	1485.578	1486.357	nan	nan	nan	nan	nan	nan	-428.000	428.000	-214.000	428.000	1.735	0.780	3.556	
2	2.000	2.000	307.000	572.000	1493.028	1495.050	1496.871	nan	nan	9,9,9,9,9,9,	1497.203,1497.506,1497.781,1498.038,1498.301,1498.575,	9.000	1499.873	-214.000	428.000	-107.000	107.000	1.122	1.822	3.775	
2	2.000	2.000	308.000	572.000	1503.749	1505.382	1506.629	nan	nan	8,8,8,8,	1507.502,1507.848,1508.178,1508.514,	8.000	1509.630	-428.000	214.000	-321.000	321.000	0.732	1.248	3.659	
2	2.000	2.000	309.000	572.000	1513.361	1514.850	1515.870	nan	nan	nan	nan	nan	nan	-214.000	107.000	-321.000	321.000	0.558	1.021	2.605	
2	2.000	2.000	310.000	572.000	1521.559	1524.055	1525.471	nan	nan	8,8,8,8,8,	1525.954,1526.348,1526.658,1526.948,1527.243,	8.000	1528.473	-428.000	321.000	-321.000	107.000	1.566	1.416	2.328	
2	2.000	2.000	311.000	572.000	1530.867	1533.066	1534.076	nan	nan	8,	1535.609,	8.000	1537.078	-107.000	321.000	-428.000	107.000	1.262	1.011	2.315	
2	2.000	2.000	312.000	572.000	1539.486	1542.203	1542.823	nan	nan	8,8,8,8,	1543.581,1543.924,1544.208,1544.775,	8.000	1545.824	-321.000	214.000	-214.000	107.000	1.807	0.621	2.527	
