subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPs	RT	KPlate	RTlate	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
7	2.000	1.000	1.000	1000.000	81.624	83.814	84.790	9,	85.623,	9.000	87.814	9.000	87.814	321.000	-107.000	428.000	-107.000	1.199	0.977	2.727	
7	2.000	1.000	2.000	1000.000	90.552	92.073	93.344	9,9,9,9,9,9,9,	93.643,93.781,93.990,94.200,94.407,94.614,94.806,	9.000	96.356	9.000	96.356	-107.000	214.000	-428.000	107.000	0.529	1.272	3.344	
7	2.000	1.000	3.000	1000.000	99.713	101.651	103.265	9,9,9,	103.538,103.963,104.785,	nan	nan	9.000	106.278	-321.000	428.000	-214.000	107.000	0.949	1.614	3.627	
7	2.000	1.000	4.000	1000.000	109.916	112.565	114.405	9,9,9,9,9,9,	114.594,114.742,114.932,115.120,115.359,115.835,	nan	nan	9.000	117.419	-107.000	428.000	-321.000	107.000	1.658	1.841	2.309	
7	2.000	1.000	5.000	1000.000	119.736	121.364	122.645	8,8,8,8,8,8,	122.877,123.051,123.253,123.505,123.770,124.113,	nan	nan	8.000	125.656	-428.000	321.000	-321.000	428.000	0.635	1.281	3.035	
7	2.000	1.000	6.000	1000.000	128.702	131.636	133.520	9,9,9,9,9,9,9,9,	133.729,133.876,134.050,134.218,134.409,134.619,134.854,135.057,	9.000	136.532	9.000	136.532	-428.000	428.000	-214.000	107.000	1.942	1.884	3.389	
7	2.000	1.000	7.000	1000.000	139.936	142.759	144.247	8,8,8,8,8,8,	144.476,144.694,144.905,145.150,145.428,145.852,	nan	nan	8.000	147.258	-321.000	321.000	-214.000	428.000	1.836	1.489	2.302	
7	2.000	1.000	8.000	1000.000	149.572	151.737	153.153	8,8,8,8,8,	153.515,153.852,154.060,154.393,155.126,	8.000	156.164	8.000	156.164	-214.000	214.000	-107.000	321.000	1.175	1.416	2.424	
7	2.000	1.000	9.000	1000.000	158.599	160.819	162.105	9,9,9,9,	162.224,162.435,163.018,163.354,	9.000	165.116	9.000	165.116	-214.000	428.000	-321.000	214.000	1.228	1.286	2.952	
7	2.000	1.000	10.000	1000.000	168.125	169.777	171.121	9,9,9,	171.234,171.422,171.652,	nan	nan	9.000	174.132	-107.000	428.000	-214.000	321.000	0.707	1.344	3.003	
7	2.000	1.000	11.000	1000.000	177.194	178.638	179.730	8,8,8,8,	180.160,180.356,180.600,180.883,	nan	nan	8.000	182.741	-428.000	428.000	-107.000	214.000	0.500	1.093	3.704	
7	2.000	1.000	12.000	1000.000	186.467	188.627	189.132	9,9,9,9,9,9,	189.857,190.099,190.311,190.536,190.765,191.027,	9.000	192.143	9.000	192.143	-214.000	214.000	-428.000	107.000	1.180	0.505	3.466	
7	2.000	1.000	13.000	1000.000	195.630	198.148	198.826	8,8,8,8,8,8,	199.564,199.774,199.980,200.180,200.432,200.678,	8.000	201.837	8.000	201.837	-321.000	214.000	-107.000	107.000	1.537	0.678	3.132	
7	2.000	1.000	14.000	1000.000	204.990	206.577	207.694	8,8,8,8,	208.473,208.695,208.934,209.463,	8.000	210.705	8.000	210.705	321.000	214.000	428.000	214.000	0.606	1.117	3.106	
7	2.000	1.000	15.000	1000.000	213.830	215.380	215.947	8,8,8,	217.025,217.445,217.931,	8.000	218.958	8.000	218.958	-321.000	321.000	-107.000	214.000	0.568	0.568	2.772	
7	2.000	1.000	16.000	1000.000	221.750	223.565	225.130	9,9,9,	225.436,225.600,225.895,	nan	nan	9.000	228.142	-321.000	214.000	-428.000	107.000	0.833	1.566	4.000	
7	2.000	1.000	17.000	1000.000	232.175	235.009	236.482	8,8,8,8,	236.803,236.978,237.219,237.580,	nan	nan	8.000	239.493	-428.000	214.000	-214.000	321.000	1.865	1.474	2.463	
7	2.000	1.000	18.000	1000.000	241.977	244.524	245.226	9,9,9,	245.303,245.551,245.820,	nan	nan	9.000	248.237	-107.000	321.000	-428.000	107.000	1.566	0.703	3.916	
7	2.000	1.000	19.000	1000.000	252.170	254.490	255.076	9,9,	256.317,256.518,	9.000	258.087	9.000	258.087	-321.000	214.000	-214.000	107.000	1.334	0.587	2.521	
7	2.000	1.000	20.000	1000.000	260.629	262.771	263.560	9,9,9,9,9,9,	263.837,264.016,264.274,264.514,264.795,265.034,	9.000	266.571	9.000	266.571	-107.000	428.000	-214.000	214.000	1.161	0.789	2.431	
7	2.000	1.000	21.000	1000.000	269.046	271.131	271.684	8,8,	273.070,273.427,	8.000	274.695	8.000	274.695	-214.000	107.000	-321.000	321.000	1.127	0.553	3.331	
7	2.000	1.000	22.000	1000.000	278.095	279.648	280.572	8,8,9,9,9,	281.279,281.870,282.031,282.253,282.562,	nan	nan	9.000	283.583	-107.000	321.000	-428.000	428.000	0.621	0.924	2.977	
7	2.000	1.000	23.000	1000.000	286.582	288.888	289.715	8,8,8,	290.436,290.758,291.008,	8.000	292.726	8.000	292.726	-428.000	428.000	-107.000	107.000	1.325	0.828	3.479	
7	2.000	1.000	24.000	1000.000	296.227	298.305	298.815	9,9,9,9,9,	298.980,299.127,299.334,299.598,300.174,	nan	nan	9.000	301.825	-107.000	428.000	-214.000	107.000	1.098	0.510	3.569	
7	2.000	1.000	25.000	1000.000	305.416	307.885	309.118	9,9,9,	309.422,309.559,309.762,	9.000	312.128	9.000	312.128	-428.000	428.000	-321.000	107.000	1.489	1.233	3.768	
7	2.000	1.000	26.000	1000.000	315.921	317.939	319.340	8,8,	319.825,320.021,	nan	nan	8.000	322.351	-321.000	321.000	-428.000	428.000	1.040	1.402	2.926	
7	2.000	1.000	27.000	1000.000	325.298	327.546	328.383	8,8,8,8,	329.468,329.680,329.895,330.176,	8.000	331.394	8.000	331.394	-214.000	214.000	-107.000	214.000	1.267	0.838	3.158	
7	2.000	1.000	28.000	1000.000	334.573	336.059	337.180	9,9,9,9,9,	337.482,337.638,337.893,338.171,338.448,	nan	nan	9.000	340.191	-214.000	428.000	-321.000	107.000	0.505	1.122	2.579	
7	2.000	1.000	29.000	1000.000	342.791	344.311	345.485	9,9,	345.653,346.081,	nan	nan	9.000	348.496	-107.000	214.000	-321.000	321.000	0.539	1.175	3.820	
7	2.000	1.000	30.000	1000.000	352.337	354.440	356.401	9,9,9,9,9,9,	356.478,356.706,356.899,357.109,357.354,357.917,	nan	nan	9.000	359.413	-214.000	428.000	-107.000	107.000	1.122	1.961	2.386	
7	2.000	1.000	31.000	1000.000	361.819	364.671	365.667	9,9,9,9,9,9,	366.050,366.346,366.680,366.938,367.229,367.557,	9.000	368.678	9.000	368.678	-214.000	428.000	-107.000	214.000	1.870	0.997	2.527	
7	2.000	1.000	32.000	1000.000	371.226	372.731	374.036	9,9,9,9,	374.660,374.891,375.133,375.468,	9.000	377.047	9.000	377.047	-214.000	214.000	-321.000	321.000	0.524	1.305	2.064	
7	2.000	1.000	33.000	1000.000	379.132	380.994	382.290	8,8,9,	383.334,383.559,384.295,	9.000	385.301	9.000	385.301	-428.000	321.000	-321.000	107.000	0.881	1.296	3.138	
7	2.000	1.000	34.000	1000.000	388.460	390.120	391.227	9,9,9,	392.295,392.537,392.764,	nan	nan	9.000	394.238	-214.000	214.000	-321.000	428.000	0.678	1.108	3.486	
7	2.000	1.000	35.000	1000.000	397.745	400.190	402.189	9,9,	402.445,402.611,	nan	nan	9.000	405.201	-107.000	428.000	-428.000	107.000	1.465	2.000	2.855	
7	2.000	1.000	36.000	1000.000	408.077	410.576	412.132	8,	412.636,	nan	nan	8.000	415.143	-428.000	214.000	-321.000	321.000	1.518	1.556	2.746	
