subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPs	RT	KPlate	RTlate	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
5	2.000	1.000	1.000	1000.000	110.975	113.191	113.762	9,	114.438,	nan	nan	9.000	116.786	321.000	-428.000	428.000	-428.000	1.223	0.572	3.711	
5	2.000	1.000	2.000	1000.000	120.507	123.079	124.032	9,	124.500,	nan	nan	9.000	127.045	-107.000	428.000	-214.000	321.000	1.580	0.953	2.283	
5	2.000	1.000	3.000	1000.000	129.338	131.742	133.573	8,	133.890,	nan	nan	8.000	136.585	-321.000	321.000	-107.000	214.000	1.412	1.831	2.238	
5	2.000	1.000	4.000	1000.000	138.832	141.222	142.103	8,	142.277,	nan	nan	8.000	145.117	-214.000	428.000	-107.000	214.000	1.397	0.881	2.174	
5	2.000	1.000	5.000	1000.000	147.300	148.831	150.435	8,	150.636,	nan	nan	8.000	153.448	-214.000	214.000	-321.000	321.000	0.539	1.605	2.630	
5	2.000	1.000	6.000	1000.000	156.087	158.820	159.478	8,8,	159.717,159.884,	nan	nan	8.000	162.489	-428.000	428.000	-214.000	107.000	1.740	0.659	2.013	
5	2.000	1.000	7.000	1000.000	164.512	167.051	167.555	9,	167.902,	nan	nan	9.000	170.566	-107.000	321.000	-428.000	428.000	1.547	0.505	2.688	
5	2.000	1.000	8.000	1000.000	173.264	175.773	176.683	9,	177.064,	nan	nan	9.000	179.697	-107.000	214.000	-428.000	107.000	1.518	0.910	3.762	
5	2.000	1.000	9.000	1000.000	183.468	185.429	186.661	9,	186.790,	nan	nan	9.000	189.675	-214.000	107.000	-321.000	214.000	0.968	1.233	2.476	
5	2.000	1.000	10.000	1000.000	192.161	194.049	195.489	9,	195.525,	nan	nan	9.000	198.502	-107.000	428.000	-214.000	107.000	0.895	1.441	2.386	
5	2.000	1.000	11.000	1000.000	200.897	202.887	204.515	8,	204.813,	nan	nan	8.000	207.526	-321.000	428.000	-214.000	107.000	0.997	1.629	3.865	
5	2.000	1.000	12.000	1000.000	211.400	213.346	215.110	9,	215.378,	nan	nan	9.000	218.124	-214.000	428.000	-428.000	107.000	0.953	1.764	3.010	
5	2.000	1.000	13.000	1000.000	221.142	222.997	224.630	8,	225.009,	nan	nan	8.000	227.641	-321.000	321.000	-214.000	428.000	0.862	1.633	3.318	
5	2.000	1.000	14.000	1000.000	230.976	232.852	234.514	8,	234.740,	nan	nan	8.000	237.528	321.000	107.000	428.000	107.000	0.891	1.662	2.026	
5	2.000	1.000	15.000	1000.000	239.563	241.847	243.494	9,	244.011,	nan	nan	9.000	246.505	-107.000	214.000	-321.000	321.000	1.291	1.648	2.367	
5	2.000	1.000	16.000	1000.000	248.882	251.146	251.862	8,	252.494,	nan	nan	8.000	254.873	-428.000	321.000	-321.000	107.000	1.272	0.717	2.431	
5	2.000	1.000	17.000	1000.000	257.337	258.931	260.709	9,	260.978,	nan	nan	9.000	263.723	-214.000	428.000	-321.000	107.000	0.625	1.778	3.029	
5	2.000	1.000	18.000	1000.000	266.764	268.987	270.161	8,	270.557,	nan	nan	8.000	273.176	-214.000	428.000	-107.000	107.000	1.233	1.175	3.653	
5	2.000	1.000	19.000	1000.000	276.868	278.963	280.499	8,	280.635,	nan	nan	8.000	283.513	-428.000	214.000	-214.000	321.000	1.132	1.537	2.489	
5	2.000	1.000	20.000	1000.000	286.036	287.889	288.413	9,	288.800,	nan	nan	9.000	291.424	-107.000	428.000	-321.000	107.000	0.886	0.524	2.624	
5	2.000	1.000	21.000	1000.000	294.084	296.520	297.154	9,	297.806,	nan	nan	9.000	300.165	-214.000	428.000	-321.000	214.000	1.469	0.635	2.830	
5	2.000	1.000	22.000	1000.000	303.012	304.912	306.617	8,	306.929,	nan	nan	8.000	309.631	-428.000	428.000	-107.000	107.000	0.915	1.706	3.042	
5	2.000	1.000	23.000	1000.000	312.715	315.632	317.433	9,	317.810,	nan	nan	9.000	320.447	-107.000	428.000	-214.000	214.000	1.957	1.802	2.193	
5	2.000	1.000	24.000	1000.000	322.658	325.546	327.410	9,	328.011,	nan	nan	9.000	330.421	-214.000	107.000	-321.000	321.000	1.904	1.865	3.904	
5	2.000	1.000	25.000	1000.000	334.339	336.704	338.400	8,	338.825,	nan	nan	8.000	341.412	-428.000	214.000	-321.000	321.000	1.378	1.696	3.569	
5	2.000	1.000	26.000	1000.000	344.994	346.671	348.617	9,	349.220,	nan	nan	9.000	351.629	-321.000	321.000	-428.000	428.000	0.688	1.947	3.408	
5	2.000	1.000	27.000	1000.000	355.052	356.684	357.352	8,	357.863,	nan	nan	8.000	360.364	-214.000	107.000	-107.000	107.000	0.645	0.669	2.868	
5	2.000	1.000	28.000	1000.000	363.252	366.224	367.867	9,	368.285,	nan	nan	9.000	370.881	-214.000	214.000	-321.000	428.000	1.990	1.643	2.090	
5	2.000	1.000	29.000	1000.000	372.988	375.693	376.858	9,	377.483,	nan	nan	9.000	379.869	-107.000	214.000	-428.000	321.000	1.720	1.166	2.785	
5	2.000	1.000	30.000	1000.000	382.674	385.072	385.779	9,	386.542,	nan	nan	9.000	388.789	-107.000	321.000	-428.000	107.000	1.416	0.707	3.884	
5	2.000	1.000	31.000	1000.000	392.694	394.875	396.132	8,	396.555,	nan	nan	8.000	399.145	-214.000	214.000	-107.000	321.000	1.199	1.257	2.547	
5	2.000	1.000	32.000	1000.000	401.724	404.312	406.191	8,	406.387,	nan	nan	8.000	409.204	-321.000	214.000	-107.000	107.000	1.619	1.879	3.453	
5	2.000	1.000	33.000	1000.000	412.672	415.525	416.984	9,	417.622,	nan	nan	9.000	419.995	-214.000	214.000	-428.000	107.000	1.865	1.460	2.759	
5	2.000	1.000	34.000	1000.000	422.771	424.864	426.723	8,	427.075,	nan	nan	8.000	429.737	-428.000	428.000	-321.000	107.000	1.108	1.860	2.656	
5	2.000	1.000	35.000	1000.000	432.411	434.382	435.239	9,8,	435.938,436.377,	nan	nan	8.000	438.249	-321.000	214.000	-214.000	107.000	0.987	0.857	3.479	
5	2.000	1.000	36.000	1000.000	441.746	444.094	445.558	9,	446.019,	nan	nan	9.000	448.570	-107.000	428.000	-428.000	107.000	1.363	1.465	3.473	
5	2.000	1.000	37.000	1000.000	452.060	455.040	456.972	9,	457.360,	nan	nan	9.000	459.983	-321.000	214.000	-428.000	107.000	1.995	1.932	3.749	
5	2.000	1.000	38.000	1000.000	463.750	466.064	467.470	8,	467.906,	nan	nan	8.000	470.481	-428.000	428.000	-107.000	214.000	1.330	1.407	2.148	
5	2.000	1.000	39.000	1000.000	472.646	474.425	475.185	8,	476.304,	nan	nan	8.000	478.196	-428.000	321.000	-321.000	428.000	0.794	0.760	3.794	
5	2.000	1.000	40.000	1000.000	482.008	484.799	486.046	8,	486.334,	nan	nan	8.000	489.060	-214.000	-321.000	-107.000	-321.000	1.807	1.248	2.051	
5	2.000	1.000	41.000	1000.000	491.126	492.816	494.044	9,	494.729,	nan	nan	9.000	497.055	-214.000	107.000	-428.000	428.000	0.703	1.228	2.084	
5	2.000	1.000	42.000	1000.000	499.171	500.824	501.772	9,	502.313,	nan	nan	9.000	504.783	-321.000	428.000	-428.000	321.000	0.683	0.949	2.720	
5	2.000	1.000	43.000	1000.000	507.536	509.251	511.202	9,	512.125,	nan	nan	9.000	514.214	-107.000	107.000	-428.000	214.000	0.746	1.952	3.923	
5	2.000	1.000	44.000	1000.000	518.159	519.769	520.278	8,	521.081,	nan	nan	8.000	523.289	-428.000	214.000	-107.000	321.000	0.630	0.510	3.498	
5	2.000	1.000	45.000	1000.000	526.802	528.342	529.647	8,	530.114,	nan	nan	8.000	532.658	-321.000	214.000	-107.000	428.000	0.553	1.305	3.158	
5	2.000	1.000	46.000	1000.000	535.829	537.602	539.322	8,	539.645,	nan	nan	8.000	542.334	-214.000	214.000	-107.000	428.000	0.785	1.720	4.000	
5	2.000	1.000	47.000	1000.000	546.348	548.328	549.074	9,	549.636,	nan	nan	9.000	552.084	-214.000	428.000	-428.000	321.000	0.992	0.746	3.460	
5	2.000	1.000	48.000	1000.000	555.558	557.143	558.356	9,	558.820,	nan	nan	9.000	561.367	-321.000	107.000	-428.000	214.000	0.596	1.214	3.415	
5	2.000	1.000	49.000	1000.000	564.796	566.563	568.163	9,	568.686,	nan	nan	9.000	571.173	-321.000	214.000	-428.000	428.000	0.780	1.600	3.235	
5	2.000	1.000	50.000	1000.000	574.423	576.875	577.779	8,	578.218,	nan	nan	8.000	580.790	-428.000	107.000	-107.000	214.000	1.465	0.905	2.424	
5	2.000	1.000	51.000	1000.000	583.229	585.194	586.523	9,	586.553,	nan	nan	9.000	589.537	-107.000	214.000	-321.000	107.000	0.977	1.330	3.691	
5	2.000	1.000	52.000	1000.000	593.243	595.000	595.562	8,	596.414,	nan	nan	8.000	598.573	-428.000	428.000	-214.000	321.000	0.770	0.563	3.363	
