subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPlate	RTlate	KPs	RT	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3
1	2	2	265	666.389	1102.636	1104.61	1105.447	nan	nan	8,8,8,8,	1106.426,1106.783,1107.072,1107.351,	8	1108.448	44.67	183.02	66.83	149.62	1.031	0.838	3.068
1	2	2	266	666.389	1111.576	1113.221	1113.976	nan	nan	9,	1115.676,	9	1116.978	44.67	223.87	66.83	149.62	0.703	0.756	2.682
1	2	2	267	666.389	1119.719	1122.078	1123.451	nan	nan	8,8,8,8,	1123.698,1124.002,1124.441,1124.762,	8	1126.452	66.83	122.32	44.67	223.87	1.416	1.373	3.106
1	2	2	268	666.389	1129.618	1131.688	1133.495	nan	nan	9,9,9,	1133.683,1133.935,1134.210,	9	1136.496	54.64	223.87	81.75	122.32	1.127	1.807	2.482
1	2	2	269	666.389	1139.039	1141.634	1143.088	nan	nan	8,8,8,8,8,8,	1143.139,1143.436,1143.724,1143.993,1144.262,1144.909,	8	1146.09	44.67	122.32	66.83	149.62	1.653	1.455	3.428
1	2	2	270	666.389	1149.577	1151.7	1153.256	nan	nan	8,8,8,	1153.426,1153.739,1154.315,	8	1156.257	44.67	122.32	54.64	223.87	1.18	1.556	3.614
1	2	2	271	666.389	1159.931	1161.629	1162.433	nan	nan	8,8,8,8,8,	1162.822,1163.150,1163.459,1163.769,1164.060,	8	1165.434	66.83	122.32	81.75	149.62	0.756	0.804	2.084
1	2	2	272	666.389	1167.578	1169.266	1170.687	nan	nan	9,	1171.272,	9	1173.689	54.64	183.02	66.83	223.87	0.746	1.421	2.643
1	2	2	273	666.389	1176.392	1177.887	1178.44	nan	nan	9,9,9,9,	1178.956,1179.338,1179.711,1180.067,	9	1181.442	44.67	183.02	81.75	223.87	0.553	0.553	3.929
1	2	2	274	666.389	1185.432	1187.424	1188.801	nan	nan	8,8,8,8,	1188.921,1189.289,1189.593,1189.907,	8	1191.803	44.67	122.32	54.64	149.62	1.05	1.378	2.219
