subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPlate	RTlate	KPs	RT	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
2	2.000	1.000	99.000	666.519	986.615	989.588	991.337	nan	nan	8,	991.784,	8.000	994.341	44.670	149.620	66.830	122.320	1.995	1.749	2.759	
2	2.000	1.000	100.000	666.519	997.126	999.186	1000.163	8.000	1003.178	nan	nan	nan	nan	122.320	54.640	183.020	54.640	1.084	0.977	4.000	
2	2.000	1.000	101.000	666.519	1007.204	1010.055	1011.326	nan	nan	8,	1012.645,	8.000	1014.327	44.670	223.870	54.640	122.320	1.875	1.272	3.814	
2	2.000	1.000	102.000	666.519	1018.167	1021.023	1021.599	nan	nan	9,	1022.325,	9.000	1024.601	66.830	223.870	81.750	122.320	1.879	0.577	2.199	
2	2.000	1.000	103.000	666.519	1026.826	1028.785	1029.897	nan	nan	9,9,	1030.204,1031.577,	9.000	1032.899	81.750	122.320	54.640	149.620	0.982	1.113	2.302	
2	2.000	1.000	104.000	666.519	1035.227	1037.441	1038.336	nan	nan	8,	1039.108,	8.000	1041.338	54.640	183.020	81.750	122.320	1.238	0.895	3.016	
2	2.000	1.000	105.000	666.519	1044.380	1047.057	1047.861	nan	nan	9,8,	1048.703,1048.788,	8.000	1050.863	54.640	223.870	66.830	149.620	1.701	0.804	3.974	
2	2.000	1.000	106.000	666.519	1054.863	1056.359	1057.847	nan	nan	9,	1058.200,	9.000	1060.849	54.640	223.870	81.750	149.620	0.519	1.489	3.608	
2	2.000	1.000	107.000	666.519	1064.484	1066.847	1068.731	nan	nan	9,	1069.299,	9.000	1071.732	81.750	223.870	44.670	149.620	1.387	1.884	3.871	
2	2.000	1.000	108.000	666.519	1075.631	1077.246	1077.987	nan	nan	8,	1078.687,	8.000	1080.989	44.670	183.020	54.640	149.620	0.640	0.741	3.080	
2	2.000	1.000	109.000	666.519	1084.096	1085.774	1087.142	nan	nan	9,	1087.407,	9.000	1090.146	66.830	223.870	81.750	149.620	0.703	1.368	3.318	
