subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPs	RT	KPlate	RTlate	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
15	2.000	1.000	1.000	544.886	80.860	83.343	83.997	8,	84.522,	nan	nan	8.000	87.012	183.020	66.830	223.870	66.830	1.484	0.654	2.797	
15	2.000	1.000	2.000	544.886	89.821	92.300	93.205	9,	93.263,	nan	nan	9.000	96.217	81.750	223.870	54.640	122.320	1.489	0.905	3.698	
15	2.000	1.000	3.000	544.886	99.927	102.850	103.769	8,9,	104.107,104.602,	nan	nan	9.000	106.781	81.750	149.620	66.830	122.320	1.932	0.920	3.897	
15	2.000	1.000	4.000	544.886	110.689	113.430	115.150	9,	115.736,	nan	nan	9.000	118.163	66.830	223.870	44.670	149.620	1.749	1.720	2.309	
15	2.000	1.000	5.000	544.886	120.482	122.393	124.301	9,	124.486,	nan	nan	9.000	127.314	54.640	223.870	44.670	122.320	0.920	1.908	2.476	
15	2.000	1.000	6.000	544.886	129.801	132.016	132.554	9,	133.711,	nan	nan	9.000	135.572	81.750	223.870	54.640	149.620	1.223	0.539	2.585	
15	2.000	1.000	7.000	544.886	138.168	140.498	141.847	9,	142.381,	nan	nan	9.000	144.864	66.830	183.020	54.640	122.320	1.339	1.349	2.823	
15	2.000	1.000	8.000	544.886	147.698	150.424	151.266	9,	151.784,	nan	nan	9.000	154.279	81.750	223.870	66.830	122.320	1.735	0.842	4.000	
15	2.000	1.000	9.000	544.886	158.291	160.587	161.386	9,	162.241,	nan	nan	9.000	164.403	81.750	183.020	66.830	149.620	1.305	0.799	3.704	
15	2.000	1.000	10.000	544.886	168.118	170.443	171.652	8,	172.295,	nan	nan	8.000	174.669	81.750	149.620	44.670	223.870	1.334	1.209	3.357	
15	2.000	1.000	11.000	544.886	178.037	179.595	181.224	9,	181.483,	nan	nan	9.000	184.242	54.640	183.020	44.670	149.620	0.568	1.629	2.862	
15	2.000	1.000	12.000	544.886	187.114	189.691	191.464	8,8,	191.985,192.281,	nan	nan	8.000	194.481	81.750	149.620	54.640	183.020	1.585	1.773	2.662	
15	2.000	1.000	13.000	544.886	197.154	198.650	199.671	9,	200.094,	nan	nan	9.000	202.683	81.750	223.870	44.670	183.020	0.505	1.021	3.087	
15	2.000	1.000	14.000	544.886	205.780	208.193	208.837	8,	209.419,	nan	nan	8.000	211.855	183.020	149.620	223.870	149.620	1.421	0.645	2.547	
15	2.000	1.000	15.000	544.886	214.412	216.236	217.918	9,	218.114,	nan	nan	9.000	220.930	66.830	223.870	54.640	122.320	0.833	1.682	2.006	
15	2.000	1.000	16.000	544.886	222.947	225.543	226.139	9,	227.370,	nan	nan	9.000	229.152	54.640	183.020	44.670	122.320	1.605	0.596	3.968	
15	2.000	1.000	17.000	544.886	233.132	235.712	237.408	8,	237.496,	nan	nan	8.000	240.420	66.830	183.020	54.640	149.620	1.590	1.696	3.248	
15	2.000	1.000	18.000	544.886	243.679	246.385	248.187	9,	248.581,	nan	nan	9.000	251.205	66.830	223.870	54.640	149.620	1.715	1.802	2.212	
