subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPs	RT	KPlate	RTlate	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
7	2.000	1.000	1.000	815.235	87.086	89.276	90.253	8,	91.551,	nan	nan	8.000	93.269	183.020	66.830	223.870	66.830	1.199	0.977	2.727	
7	2.000	1.000	2.000	815.235	96.026	97.528	98.799	9,	99.560,	nan	nan	9.000	101.811	66.830	183.020	54.640	149.620	0.529	1.272	3.344	
7	2.000	1.000	3.000	815.235	105.166	107.106	108.720	9,	109.226,	nan	nan	9.000	111.732	81.750	149.620	44.670	183.020	0.949	1.614	3.627	
7	2.000	1.000	4.000	815.235	115.371	118.019	119.859	9,	120.259,	nan	nan	9.000	122.873	66.830	223.870	44.670	183.020	1.658	1.841	2.309	
7	2.000	1.000	5.000	815.235	125.211	126.819	128.100	8,	128.682,	nan	nan	8.000	131.110	81.750	223.870	66.830	149.620	0.635	1.281	3.035	
7	2.000	1.000	6.000	815.235	134.156	137.090	138.974	8,	139.204,	nan	nan	8.000	141.987	81.750	149.620	66.830	122.320	1.942	1.884	3.389	
7	2.000	1.000	7.000	815.235	145.386	148.214	149.702	8,	149.850,	nan	nan	8.000	152.716	81.750	122.320	66.830	183.020	1.836	1.489	2.302	
7	2.000	1.000	8.000	815.235	155.028	157.195	158.611	9,	158.630,	nan	nan	9.000	161.625	66.830	223.870	54.640	122.320	1.175	1.416	2.424	
7	2.000	1.000	9.000	815.235	164.059	166.280	167.566	9,	167.779,	nan	nan	9.000	170.576	66.830	149.620	44.670	122.320	1.228	1.286	2.952	
7	2.000	1.000	10.000	815.235	173.538	175.238	176.581	9,	177.067,	nan	nan	9.000	179.593	81.750	149.620	44.670	223.870	0.707	1.344	3.003	
7	2.000	1.000	11.000	815.235	182.607	184.098	185.191	9,	185.252,	nan	nan	9.000	188.205	81.750	183.020	44.670	122.320	0.500	1.093	3.704	
7	2.000	1.000	12.000	815.235	191.919	194.091	194.596	8,	195.264,	nan	nan	8.000	197.606	81.750	223.870	66.830	183.020	1.180	0.505	3.466	
7	2.000	1.000	13.000	815.235	201.083	203.612	204.289	9,	205.461,	nan	nan	9.000	207.300	66.830	183.020	54.640	122.320	1.537	0.678	3.132	
7	2.000	1.000	14.000	815.235	210.442	212.040	213.157	8,	214.205,	nan	nan	8.000	216.168	183.020	149.620	223.870	149.620	0.606	1.117	3.106	
7	2.000	1.000	15.000	815.235	219.284	220.844	221.411	9,	222.585,	nan	nan	9.000	224.421	81.750	149.620	54.640	183.020	0.568	0.568	2.772	
7	2.000	1.000	16.000	815.235	227.203	229.028	230.593	9,	230.857,	nan	nan	9.000	233.607	54.640	183.020	44.670	149.620	0.833	1.566	4.000	
7	2.000	1.000	17.000	815.235	237.618	240.474	241.948	9,	242.447,	nan	nan	9.000	244.958	81.750	149.620	44.670	122.320	1.865	1.474	2.463	
7	2.000	1.000	18.000	815.235	247.435	249.989	250.692	9,	251.852,	nan	nan	9.000	253.702	66.830	223.870	44.670	149.620	1.566	0.703	3.916	
