subjID	session	Block	trialCount	earnings	Gam1Onset	Gam2Onset	FBOnset	KPlate	RTlate	KPs	RT	KP_Final	SLOnset	Gam1_1	Gam1_2	Gam2_1	Gam2_2	jit1	jit2	jit3	
3	2.000	1.000	1.000	198.992	52.734	54.959	55.978	nan	nan	9,	57.930,	9.000	58.994	183.020	81.750	223.870	81.750	1.228	1.021	3.042	
3	2.000	1.000	2.000	198.992	62.048	63.698	65.123	nan	nan	9,9,	65.353,65.953,	9.000	68.135	66.830	223.870	44.670	122.320	0.659	1.426	2.476	
3	2.000	1.000	3.000	198.992	70.621	72.701	74.344	nan	nan	9,	74.721,	9.000	77.355	81.750	223.870	44.670	122.320	1.088	1.643	3.132	
3	2.000	1.000	4.000	198.992	80.497	82.775	83.400	nan	nan	8,8,	84.176,84.692,	8.000	86.411	81.750	223.870	44.670	183.020	1.286	0.625	2.945	
3	2.000	1.000	5.000	198.992	89.367	91.553	92.511	nan	nan	9,9,	92.582,93.190,	9.000	95.521	66.830	223.870	44.670	149.620	1.195	0.958	2.084	
3	2.000	1.000	6.000	198.992	97.616	99.310	100.808	nan	nan	8,9,	101.051,102.290,	9.000	103.818	81.750	223.870	54.640	122.320	0.703	1.498	2.997	
3	2.000	1.000	7.000	198.992	106.827	108.323	109.507	nan	nan	9,	110.213,	9.000	112.518	81.750	149.620	44.670	223.870	0.505	1.185	3.563	
3	2.000	1.000	8.000	198.992	116.093	117.901	119.747	nan	nan	8,	119.980,	8.000	122.760	81.750	122.320	66.830	183.020	0.818	1.846	3.691	
3	2.000	1.000	9.000	198.992	126.464	128.470	129.601	nan	nan	9,	130.035,	9.000	132.612	54.640	223.870	44.670	122.320	1.016	1.132	3.190	
3	2.000	1.000	10.000	198.992	135.814	138.240	138.899	nan	nan	9,	139.282,	9.000	141.909	66.830	223.870	54.640	122.320	1.436	0.659	2.360	
3	2.000	1.000	11.000	198.992	144.282	146.428	147.342	nan	nan	9,	147.861,	9.000	150.353	54.640	149.620	44.670	122.320	1.156	0.915	2.109	
3	2.000	1.000	12.000	198.992	152.474	155.107	156.026	nan	nan	9,	156.693,	9.000	159.037	66.830	149.620	54.640	122.320	1.643	0.920	2.039	
3	2.000	1.000	13.000	198.992	161.088	163.451	165.152	nan	nan	9,	165.462,	9.000	168.163	66.830	183.020	54.640	122.320	1.373	1.701	2.810	
3	2.000	1.000	14.000	198.992	170.986	173.541	174.046	nan	nan	9,	174.319,	9.000	177.056	183.020	122.320	223.870	122.320	1.566	0.505	2.675	
3	2.000	1.000	15.000	198.992	179.745	181.581	182.944	nan	nan	9,	183.292,	9.000	185.958	81.750	183.020	44.670	122.320	0.847	1.363	3.550	
3	2.000	1.000	16.000	198.992	189.521	192.230	193.772	nan	nan	8,	193.784,	8.000	196.785	66.830	223.870	54.640	183.020	1.720	1.542	3.100	
3	2.000	1.000	17.000	198.992	199.898	201.503	203.290	nan	nan	9,	203.476,	9.000	206.304	66.830	183.020	54.640	149.620	0.616	1.788	2.778	
3	2.000	1.000	18.000	198.992	209.095	211.375	212.690	nan	nan	9,	213.003,	9.000	215.703	81.750	223.870	54.640	149.620	1.291	1.315	3.170	
3	2.000	1.000	19.000	198.992	218.888	221.476	222.824	nan	nan	9,	222.976,	9.000	225.838	66.830	223.870	44.670	183.020	1.600	1.349	3.640	
3	2.000	1.000	20.000	198.992	229.491	232.292	232.893	nan	nan	9,	233.257,	9.000	235.905	54.640	223.870	44.670	149.620	1.812	0.601	3.846	
3	2.000	1.000	21.000	198.992	239.766	242.291	244.242	nan	nan	9,	244.592,	9.000	247.255	66.830	149.620	44.670	122.320	1.537	1.952	3.473	
3	2.000	1.000	22.000	198.992	250.742	252.829	254.814	nan	nan	9,	254.835,	9.000	257.825	54.640	183.020	44.670	122.320	1.098	1.986	3.588	
3	2.000	1.000	23.000	198.992	261.428	264.025	265.301	nan	nan	9,9,	265.495,265.857,	9.000	268.312	81.750	149.620	54.640	122.320	1.609	1.277	3.859	
3	2.000	1.000	24.000	198.992	272.185	274.714	275.383	nan	nan	9,	275.721,	9.000	278.396	81.750	223.870	54.640	183.020	1.542	0.669	2.457	
3	2.000	1.000	25.000	198.992	280.867	282.528	284.321	nan	nan	9,	284.610,	9.000	287.334	54.640	183.020	44.670	149.620	0.674	1.793	3.820	
3	2.000	1.000	26.000	198.992	291.168	293.341	295.234	nan	nan	9,	295.628,	9.000	298.247	81.750	183.020	66.830	149.620	1.185	1.894	2.032	
3	2.000	1.000	27.000	198.992	300.294	303.219	305.078	nan	nan	8,	305.207,	8.000	308.092	66.830	122.320	81.750	122.320	1.937	1.860	3.138	
3	2.000	1.000	28.000	198.992	311.246	313.379	314.462	nan	nan	9,	314.814,	9.000	317.473	54.640	223.870	44.670	183.020	1.146	1.084	3.466	
3	2.000	1.000	29.000	198.992	320.956	323.841	324.586	nan	nan	9,	324.946,	9.000	327.599	66.830	223.870	54.640	149.620	1.899	0.746	2.907	
3	2.000	1.000	30.000	198.992	330.523	332.091	332.706	nan	nan	9,8,	332.956,333.825,	8.000	335.716	81.750	149.620	54.640	183.020	0.582	0.616	2.566	
3	2.000	1.000	31.000	198.992	338.298	340.021	341.316	nan	nan	9,	341.433,	9.000	344.329	81.750	223.870	66.830	149.620	0.736	1.296	3.736	
3	2.000	1.000	32.000	198.992	348.082	349.679	351.476	nan	nan	9,	351.693,	9.000	354.490	81.750	223.870	66.830	122.320	0.611	1.797	2.952	
3	2.000	1.000	33.000	198.992	357.457	359.662	361.517	nan	nan	9,	362.274,	9.000	364.528	66.830	183.020	44.670	122.320	1.219	1.855	2.013	
3	2.000	1.000	34.000	198.992	366.558	368.897	370.236	nan	nan	9,	370.544,	9.000	373.249	81.750	149.620	66.830	122.320	1.354	1.339	3.074	
3	2.000	1.000	35.000	198.992	376.340	379.099	380.259	nan	nan	9,	380.605,	9.000	383.270	81.750	149.620	44.670	122.320	1.773	1.161	3.331	
3	2.000	1.000	36.000	198.992	386.618	388.847	390.499	nan	nan	9,	390.896,	9.000	393.510	81.750	183.020	54.640	122.320	1.243	1.653	3.826	
3	2.000	1.000	37.000	198.992	397.353	399.148	400.631	nan	nan	9,	400.816,	9.000	403.644	66.830	183.020	44.670	149.620	0.809	1.484	2.585	
3	2.000	1.000	38.000	198.992	406.246	408.325	409.895	nan	nan	8,	410.178,	8.000	412.909	81.750	223.870	66.830	183.020	1.093	1.571	2.283	
3	2.000	1.000	39.000	198.992	415.209	417.939	419.842	nan	nan	9,	420.143,	9.000	422.856	81.750	149.620	44.670	183.020	1.744	1.904	3.852	
3	2.000	1.000	40.000	198.992	426.725	428.495	430.007	nan	nan	8,	430.514,	8.000	433.018	66.830	54.640	81.750	54.640	0.785	1.513	3.492	
3	2.000	1.000	41.000	198.992	436.528	438.148	439.269	nan	nan	9,	439.413,	9.000	442.282	81.750	122.320	44.670	149.620	0.635	1.122	3.305	
3	2.000	1.000	42.000	198.992	445.609	447.968	449.476	nan	nan	9,	449.934,	9.000	452.489	81.750	122.320	66.830	149.620	1.378	1.508	2.489	
3	2.000	1.000	43.000	198.992	454.995	456.620	457.447	nan	nan	9,	457.541,	9.000	460.460	66.830	149.620	44.670	183.020	0.640	0.828	2.701	
3	2.000	1.000	44.000	198.992	463.178	465.927	467.116	nan	nan	9,	467.259,	9.000	470.129	66.830	149.620	44.670	223.870	1.764	1.190	3.222	
3	2.000	1.000	45.000	198.992	473.369	476.334	478.203	nan	nan	9,	478.319,	9.000	481.214	81.750	122.320	54.640	223.870	1.981	1.870	2.926	
3	2.000	1.000	46.000	198.992	484.158	485.821	486.793	nan	nan	9,	487.100,	9.000	489.805	81.750	122.320	54.640	183.020	0.678	0.973	3.260	
3	2.000	1.000	47.000	198.992	493.085	495.243	496.914	nan	nan	9,	497.240,	9.000	499.928	81.750	149.620	54.640	223.870	1.175	1.672	3.743	
3	2.000	1.000	48.000	198.992	503.690	505.415	506.835	nan	nan	9,	507.185,	9.000	509.849	81.750	183.020	66.830	223.870	0.741	1.421	3.209	
